City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Mananjary,-21.2167,48.3333,71.13,77,56,4.12,MG,1657701742
Bilma,18.6853,12.9164,96.57,14,97,11.01,NE,1657702015
Caravelas,-17.7125,-39.2481,67.68,90,5,2.86,BR,1657702015
Martapura,-3.4167,114.85,82.49,74,40,5.75,ID,1657702015
Tuktoyaktuk,69.4541,-133.0374,35.87,96,100,11.43,CA,1657702015
Belaya gora,68.5333,146.4167,64.27,67,100,20.24,RU,1657702015
Dhankuta,26.9833,87.3333,79.81,73,99,5.3,NP,1657702015
Kapaa,22.0752,-159.319,79.12,86,100,18.41,US,1657702016
Rikitea,-23.1203,-134.9692,75.02,74,100,10.09,PF,1657702016
Busselton,-33.65,115.3333,59.85,59,38,1.57,AU,1657702016
Castro,-24.7911,-50.0119,53.56,97,95,5.99,BR,1657702016
Dicabisagan,17.0818,122.4157,83.95,79,100,7.61,PH,1657702016
Tulum,20.2167,-87.4667,80.38,82,99,7.78,MX,1657702016
Cape town,-33.9258,18.4232,59.88,75,75,19.57,ZA,1657701889
Tiksi,71.6872,128.8694,36.48,90,100,5.48,RU,1657702016
Ahipara,-35.1667,173.1667,56.55,86,78,9.6,NZ,1657702016
Geraldton,-28.7667,114.6,68.41,73,85,12.66,AU,1657702016
Provideniya,64.3833,-173.3,50.07,86,91,2.48,RU,1657702017
Kaitangata,-46.2817,169.8464,42.44,96,100,13.67,NZ,1657702017
Smithers,54.7804,-127.1743,48.52,81,100,2.3,CA,1657702017
Knysna,-34.0363,23.0471,61.88,51,0,6.96,ZA,1657702017
Turukhansk,65.8167,87.9833,62.65,39,100,8.1,RU,1657702017
Port alfred,-33.5906,26.891,69.19,39,0,7.0,ZA,1657702017
Rawah,34.4816,41.9093,103.42,15,0,17.54,IQ,1657702017
Port-gentil,-0.7193,8.7815,76.96,78,75,9.22,GA,1657702018
Hasaki,35.7333,140.8333,75.6,88,99,9.53,JP,1657702018
Ushuaia,-54.8,-68.3,37.06,75,40,6.91,AR,1657702018
Barrow,71.2906,-156.7887,37.42,87,100,8.05,US,1657702018
Katsuura,35.1333,140.3,75.7,91,94,1.97,JP,1657702018
Jamestown,42.097,-79.2353,65.01,87,100,3.44,US,1657702018
Ilulissat,69.2167,-51.1,41.02,93,100,4.61,GL,1657702018
Mataura,-46.1927,168.8643,44.47,98,100,6.33,NZ,1657702018
Qandala,11.472,49.8728,94.86,38,100,11.83,SO,1657702018
Georgetown,5.4112,100.3354,87.73,75,20,7.0,MY,1657701910
Cidreira,-30.1811,-50.2056,47.52,86,2,4.09,BR,1657702018
Menongue,-14.6585,17.691,72.09,27,0,9.51,AO,1657702019
Butaritari,3.0707,172.7902,82.58,77,93,16.26,KI,1657702019
Vegreville,53.5001,-112.0518,62.55,59,0,11.07,CA,1657702019
Galveston,29.3669,-94.9669,84.16,89,0,4.61,US,1657702019
Alice springs,-23.7,133.8833,54.95,38,0,9.22,AU,1657702019
New norfolk,-42.7826,147.0587,43.92,85,73,1.41,AU,1657702019
Presidencia roque saenz pena,-26.7852,-60.4388,42.4,94,0,6.2,AR,1657701934
Saint-philippe,-21.3585,55.7679,73.22,66,59,13.22,RE,1657702020
Albany,42.6001,-73.9662,64.81,85,0,4.61,US,1657702020
Faanui,-16.4833,-151.75,78.22,69,0,7.16,PF,1657702020
Carnarvon,-24.8667,113.6333,72.16,63,1,12.66,AU,1657702020
Chokurdakh,70.6333,147.9167,45.84,87,99,11.79,RU,1657702020
Hithadhoo,-0.6,73.0833,83.68,71,20,12.44,MV,1657702020
Waling,27.9833,83.7667,87.93,62,96,3.22,NP,1657702020
Salalah,17.0151,54.0924,82.49,83,75,5.75,OM,1657701941
Chuy,-33.6971,-53.4616,38.5,87,4,4.25,UY,1657702021
Nikolskoye,59.7035,30.7861,74.88,43,1,7.2,RU,1657702021
Eydhafushi,5.1033,73.0708,82.72,73,100,13.85,MV,1657702021
Tabas,33.5959,56.9244,97.02,11,0,9.22,IR,1657702021
Mar del plata,-38.0023,-57.5575,45.09,73,0,17.27,AR,1657702021
Leningradskiy,69.3833,178.4167,36.93,87,95,9.66,RU,1657702021
Ponta do sol,32.6667,-17.1,72.01,63,22,3.83,PT,1657702021
Ndele,8.4109,20.6473,73.45,92,99,5.86,CF,1657701928
Bredasdorp,-34.5322,20.0403,59.49,58,2,16.28,ZA,1657702021
Kvarkeno,52.0833,59.725,86.14,41,68,5.99,RU,1657702022
Yerbogachen,61.2767,108.0108,63.32,41,62,4.7,RU,1657702022
Atuona,-9.8,-139.0333,77.76,78,21,20.92,PF,1657702022
Torbay,47.6666,-52.7314,58.28,93,100,11.5,CA,1657702022
Punta arenas,-53.15,-70.9167,39.31,87,100,23.02,CL,1657702022
Dhone,15.4167,77.8833,74.7,80,100,24.72,IN,1657702022
Madang,-5.2246,145.7966,79.77,84,20,3.49,PG,1657702022
Olot,42.181,2.4901,91.54,30,5,1.99,ES,1657701850
Dikson,73.5069,80.5464,39.65,90,64,8.66,RU,1657701890
Hilo,19.7297,-155.09,78.28,97,100,5.75,US,1657702023
Isangel,-19.55,169.2667,77.74,90,11,15.14,VU,1657702023
Bluff,-46.6,168.3333,44.8,92,100,17.63,NZ,1657702023
Aqtobe,50.2797,57.2072,96.89,28,75,8.95,KZ,1657702023
Qaanaaq,77.484,-69.3632,39.45,79,100,2.57,GL,1657702023
Preobrazheniye,42.9019,133.9064,66.29,95,100,11.45,RU,1657702023
Longyearbyen,78.2186,15.6401,49.84,87,75,8.05,SJ,1657702023
Manokwari,-0.8667,134.0833,79.03,80,100,4.38,ID,1657702023
Winslow,35.0242,-110.6974,66.38,88,0,6.91,US,1657702024
Hofn,64.2539,-15.2082,51.82,50,20,17.27,IS,1657702024
Saskylakh,71.9167,114.0833,58.6,41,98,11.54,RU,1657702024
Lavrentiya,65.5833,-171.0,52.3,71,100,2.64,RU,1657702024
Znamenskoye,57.1281,73.8282,56.03,95,100,4.63,RU,1657702024
Primorsk,46.7348,36.3443,78.6,35,35,10.96,UA,1657702024
Poltavka,54.3663,71.7632,77.86,39,7,7.56,RU,1657702024
Mbengwi,6.0167,10.0,64.65,96,100,1.59,CM,1657702024
Saint-joseph,-21.3667,55.6167,72.21,64,35,13.87,RE,1657702024
Saint augustine,29.8947,-81.3145,78.04,99,0,4.32,US,1657702025
Ribeira grande,38.5167,-28.7,73.8,83,75,4.61,PT,1657702025
Apple valley,34.5008,-117.1859,76.48,25,0,5.23,US,1657702025
Mitsamiouli,-11.3847,43.2844,80.89,61,75,6.91,KM,1657702025
Nantucket,41.2835,-70.0995,73.99,94,100,9.22,US,1657702025
Hermanus,-34.4187,19.2345,60.8,66,6,21.23,ZA,1657701772
Hobart,-42.8794,147.3294,44.26,90,89,4.07,AU,1657701902
Aktas,49.7789,72.9608,76.75,30,75,13.0,KZ,1657702025
Itacoatiara,-3.1431,-58.4442,73.81,84,77,2.08,BR,1657702025
Euclides da cunha,-10.5075,-39.0158,65.91,99,100,4.59,BR,1657702025
Tasiilaq,65.6145,-37.6368,42.96,83,55,2.08,GL,1657702025
Chagoda,59.164,35.3285,74.75,41,10,5.73,RU,1657702026
Souillac,-20.5167,57.5167,75.58,60,20,16.11,MU,1657702026
Dingle,10.9995,122.6711,83.01,82,100,3.27,PH,1657702026
Avarua,-21.2078,-159.775,73.45,68,75,3.44,CK,1657702026
Codrington,-38.2667,141.9667,47.61,74,27,8.46,AU,1657702026
Labuhan,-6.8844,112.2051,83.71,72,93,11.95,ID,1657702026
Mackenzie,55.2999,-123.1698,50.22,76,20,9.22,CA,1657702026
Aracati,-4.5617,-37.7697,72.9,82,12,7.25,BR,1657702026
East london,-33.0153,27.9116,68.94,52,0,4.61,ZA,1657702027
Bengkulu,-3.8004,102.2655,81.81,73,89,4.25,ID,1657702027
Bethel,41.3712,-73.414,72.64,88,0,4.61,US,1657702027
Vryburg,-26.9566,24.7284,65.75,29,0,12.46,ZA,1657702027
Emerald,-23.5333,148.1667,59.34,43,0,14.58,AU,1657702027
Oranjemund,-28.55,16.4333,57.94,70,0,14.0,NA,1657702027
Khatanga,71.9667,102.5,44.22,79,100,5.28,RU,1657702027
Coquimbo,-29.9533,-71.3436,49.73,93,0,3.44,CL,1657702028
Mezen,65.8522,44.24,85.21,38,19,9.44,RU,1657702028
Aksarka,66.5606,67.7975,63.01,76,99,14.07,RU,1657702028
Grindavik,63.8424,-22.4338,50.47,66,0,4.61,IS,1657702028
Puerto ayora,-0.7393,-90.3518,69.55,91,75,4.0,EC,1657702028
Vostok,46.4856,135.8833,71.82,85,7,3.91,RU,1657702028
Atar,20.5169,-13.0499,93.9,24,71,0.98,MR,1657702028
Guerrero negro,27.9769,-114.0611,65.05,88,80,12.77,MX,1657702028
Klaksvik,62.2266,-6.589,49.12,86,100,7.16,FO,1657702028
Tecolutla,20.4833,-97.0167,79.68,87,79,8.55,MX,1657702029
Tharad,24.3961,71.6267,93.69,53,85,7.92,IN,1657702029
Soldotna,60.4878,-151.0583,59.02,84,100,0.0,US,1657702029
Twin falls,42.3505,-114.6445,71.94,33,0,14.97,US,1657702029
Norman wells,65.282,-126.8329,53.64,94,100,11.5,CA,1657702029
Nome,64.5011,-165.4064,55.17,71,0,12.66,US,1657702029
Pangnirtung,66.1451,-65.7125,46.85,88,100,0.38,CA,1657702029
Ovalle,-30.5983,-71.2003,50.58,68,3,2.21,CL,1657702029
Bayir,37.2687,28.2167,84.72,33,0,10.38,TR,1657702029
Malakal,9.5334,31.6605,87.8,51,29,6.29,SS,1657702029
Wilmington,34.2257,-77.9447,81.86,89,0,8.05,US,1657702030
Anadyr,64.75,177.4833,63.1,72,0,2.24,RU,1657702030
Belyy yar,53.6039,91.3903,65.86,63,40,4.47,RU,1657702030
Marawi,7.9986,124.2928,74.17,92,100,3.65,PH,1657702030
Cascais,38.6979,-9.4215,88.5,35,20,17.27,PT,1657702030
Nizwa,22.9333,57.5333,98.4,38,50,6.44,OM,1657702030
Bambous virieux,-20.3428,57.7575,75.45,60,20,16.11,MU,1657702030
Koshurnikovo,54.1667,93.3,61.7,69,100,7.61,RU,1657702030
Vaini,-21.2,-175.2,75.36,88,75,6.91,TO,1657702030
Hobyo,5.3505,48.5268,87.89,43,44,23.76,SO,1657702031
Bloomfield,40.8068,-74.1854,77.68,82,0,6.91,US,1657702031
Adrar,20.5022,-10.0711,95.54,14,11,8.41,MR,1657702031
Cayenne,4.9333,-52.3333,73.44,1,100,2.3,GF,1657702031
San patricio,28.017,-97.5169,84.88,84,83,4.43,US,1657702031
Port hedland,-20.3167,118.5667,73.45,38,7,17.27,AU,1657702031
Roebourne,-20.7833,117.1333,73.31,43,1,13.62,AU,1657702031
Taiyuan,37.8694,112.5603,89.46,45,0,4.47,CN,1657702031
Lorengau,-2.0226,147.2712,82.27,71,3,5.73,PG,1657702031
Hami,42.8,93.45,96.3,12,76,9.48,CN,1657702032
Touros,-5.1989,-35.4608,73.96,91,28,8.72,BR,1657702032
Biak,-0.9131,122.8766,77.22,86,80,4.36,ID,1657702032
Namatanai,-3.6667,152.4333,80.15,82,82,8.86,PG,1657702032
Voh,-20.9667,164.7,73.26,94,80,7.36,NC,1657702032
Victoria,22.2855,114.1577,93.25,70,15,5.99,HK,1657701930
Yellowknife,62.456,-114.3525,55.92,88,40,6.91,CA,1657702032
Synya,65.3718,58.0387,88.38,32,25,6.24,RU,1657702032
Naze,28.3667,129.4833,85.12,75,100,5.66,JP,1657702033
Airai,-8.9266,125.4092,60.48,79,23,2.55,TL,1657702033
Salinas,36.6777,-121.6555,61.41,78,100,4.61,US,1657702033
Jackson,42.4165,-122.8345,75.07,62,0,0.0,US,1657702033
Maniitsoq,65.4167,-52.9,41.25,98,100,7.99,GL,1657702033
Baghdad,33.3406,44.4009,105.71,18,4,18.41,IQ,1657702029
Sao joao da barra,-21.6403,-41.0511,68.56,81,100,6.85,BR,1657702033
Kodiak,57.79,-152.4072,54.91,88,100,10.36,US,1657702034
Chimbote,-9.0853,-78.5783,59.76,90,59,8.77,PE,1657702034
Paragominas,-2.9667,-47.4833,69.12,99,70,2.68,BR,1657702034
Rapid valley,44.0625,-103.1463,69.62,66,0,4.61,US,1657702034
Cherskiy,68.75,161.3,52.97,57,92,13.0,RU,1657702034
Meadow lake,34.8014,-106.5436,69.28,61,79,5.39,US,1657702034
Teguldet,57.3064,88.1667,65.08,36,82,11.14,RU,1657701876
Nova olimpia,-14.7972,-57.2881,64.22,73,10,1.25,BR,1657702034
Caohe,30.2297,115.4335,97.21,54,100,5.73,CN,1657702035
Arraial do cabo,-22.9661,-42.0278,70.38,92,98,23.49,BR,1657702035
Santa maria,-29.6842,-53.8069,40.75,92,0,4.74,BR,1657702000
Andros town,24.7,-77.7667,82.36,76,97,9.51,BS,1657702035
Camacupa,-12.0167,17.4833,71.11,27,0,6.29,AO,1657702035
Mangrol,21.1167,70.1167,82.78,82,98,22.44,IN,1657702035
Karratha,-20.7377,116.8463,73.38,41,1,13.47,AU,1657702035
Qasigiannguit,68.8193,-51.1922,41.25,86,100,2.15,GL,1657702035
Iralaya,15.0,-83.2333,79.23,86,48,14.32,HN,1657702035
Avila,40.5833,-5.0,86.65,18,84,3.04,ES,1657702035
Rio grande,-32.035,-52.0986,43.03,82,0,3.38,BR,1657702036
At-bashi,41.1702,75.8106,71.65,26,60,5.39,KG,1657702036
Axim,4.8699,-2.2405,75.99,79,100,6.76,GH,1657702036
Rawson,-43.3002,-65.1023,37.45,58,0,11.16,AR,1657702036
Okha,53.5739,142.9478,59.63,87,76,13.15,RU,1657701816
Ciudad bolivar,8.1222,-63.5497,75.63,89,99,7.29,VE,1657702036
Yenagoa,4.9247,6.2642,76.42,85,100,5.77,NG,1657702036
Moranbah,-22.0016,148.0466,55.02,44,0,7.52,AU,1657702036
Alvand,36.3187,49.1678,85.98,16,2,12.75,IR,1657702036
Kaeo,-35.1,173.7833,52.32,94,47,8.08,NZ,1657702037
Kiri buru,22.0833,85.35,85.8,68,83,11.83,IN,1657702037
Port elizabeth,-33.918,25.5701,65.32,53,0,3.0,ZA,1657702037
Wadi maliz,36.4681,8.5495,87.46,22,0,6.42,TN,1657702037
Los llanos de aridane,28.6585,-17.9182,69.55,84,20,2.3,ES,1657702037
Yurino,56.2942,46.3039,72.52,74,100,10.58,RU,1657702037
Upernavik,72.7868,-56.1549,41.4,84,100,5.53,GL,1657702037
Abu kamal,34.4506,40.9171,101.21,16,1,17.72,SY,1657702037
Pallasovka,50.05,46.8833,93.16,21,98,10.63,RU,1657701796
Kyshtovka,56.555,76.6271,54.75,93,100,2.26,RU,1657702038
Rafai,4.95,23.9167,70.92,96,100,2.15,CF,1657702038
Tremedal,-14.9758,-41.4108,59.76,96,4,4.03,BR,1657702038
Lebu,-37.6167,-73.65,45.61,70,100,2.64,CL,1657702038
Panguna,-6.3164,155.4848,69.31,96,16,2.21,PG,1657702038
Shahpur,16.7,76.8333,72.59,86,100,25.21,IN,1657702038
Margate,51.3813,1.3862,76.89,68,79,3.0,GB,1657701769
Natal,-5.795,-35.2094,75.42,94,40,4.61,BR,1657702039
Cap malheureux,-19.9842,57.6142,75.47,55,34,11.01,MU,1657702039
Boa vista,2.8197,-60.6733,78.78,89,75,6.91,BR,1657702039
Manta,-0.95,-80.7333,69.58,88,100,6.91,EC,1657702039
Sur,22.5667,59.5289,93.15,58,83,3.56,OM,1657702039
Ilesha,7.1371,5.2583,75.07,89,100,3.65,NG,1657702039
Bonthe,7.5264,-12.505,77.94,84,38,6.71,SL,1657702039
Moree,-29.4667,149.85,49.46,54,21,14.32,AU,1657702039
Broome,42.2506,-75.833,63.64,93,0,3.44,US,1657702039
Wittingen,52.7269,10.7361,80.58,63,72,11.01,DE,1657702040
Vanimo,-2.6741,141.3028,80.47,79,30,3.02,PG,1657702040
Gizo,-8.103,156.8419,81.43,78,58,9.19,SB,1657702040
Nkhotakota,-12.9274,34.2961,74.7,52,39,7.63,MW,1657702040
Ust-koksa,50.2696,85.6108,69.57,40,23,8.97,RU,1657702040
Maragogi,-9.0122,-35.2225,73.92,90,26,8.93,BR,1657702040
Arvika,59.6553,12.5852,63.21,55,100,13.11,SE,1657701973
Yumbe,3.4651,31.2469,82.72,45,14,7.78,UG,1657702040
Bathsheba,13.2167,-59.5167,81.21,84,75,17.27,BB,1657702040
Dukat,62.55,155.55,79.23,45,95,10.07,RU,1657702041
Severo-kurilsk,50.6789,156.125,54.82,94,54,0.13,RU,1657702041
Auki,-8.7676,160.7034,76.53,80,10,7.09,SB,1657702041
Nemuro,43.3236,145.575,62.17,93,100,7.83,JP,1657702041
Along,28.1667,94.7667,90.45,61,100,0.22,IN,1657702041
Esperance,-33.8667,121.9,60.28,50,0,5.23,AU,1657702041
Mahebourg,-20.4081,57.7,75.49,60,20,16.11,MU,1657702041
Samarai,-10.6167,150.6667,79.59,82,100,16.31,PG,1657702041
Kudahuvadhoo,2.6708,72.8944,82.62,74,100,11.39,MV,1657702041
Mlyniv,50.509,25.6168,58.93,94,100,20.07,UA,1657702042
Pevek,69.7008,170.3133,34.34,94,34,11.01,RU,1657702042
Wanning,18.8003,110.3967,82.56,89,100,9.35,CN,1657702042
Meulaboh,4.1363,96.1285,83.68,72,100,8.46,ID,1657702042
Baruun-urt,46.6806,113.2792,73.81,41,48,9.24,MN,1657702042
Cabedelo,-6.9811,-34.8339,72.27,84,63,8.77,BR,1657702042
Goba,7.0167,39.9833,56.88,85,90,3.8,ET,1657702042
Cabo san lucas,22.8909,-109.9124,81.61,84,30,1.99,MX,1657702042
Coihaique,-45.5752,-72.0662,30.15,86,0,8.05,CL,1657702042
Svetlyy,54.675,20.1347,70.97,63,89,16.82,RU,1657701831
Ridgecrest,35.6225,-117.6709,85.86,20,0,11.5,US,1657702043
Dudinka,69.4058,86.1778,58.62,46,43,21.81,RU,1657702043
Vao,-22.6667,167.4833,74.5,90,100,23.17,NC,1657702043
Koslan,63.4564,48.8989,85.24,35,95,9.13,RU,1657702043
Yumen,40.2833,97.2,91.02,17,100,8.05,CN,1657702043
Kenai,60.5544,-151.2583,59.09,86,100,0.0,US,1657702043
Krasnovishersk,60.4078,57.082,86.09,41,23,4.85,RU,1657702043
Copiapo,-27.3667,-70.3333,51.49,77,6,1.9,CL,1657702043
Yar-sale,66.8333,70.8333,56.52,60,100,7.38,RU,1657702043
Anito,12.4497,125.2886,83.08,83,86,1.99,PH,1657702044
Half moon bay,37.4636,-122.4286,63.79,89,100,3.44,US,1657702044
Novyye burasy,52.1324,46.0714,73.18,64,100,3.29,RU,1657702044
Rio gallegos,-51.6226,-69.2181,28.45,93,100,1.99,AR,1657702044
Fonte boa,-2.4959,-66.2662,70.68,99,81,0.27,BR,1657702044
Luwuk,-0.9516,122.7875,78.78,90,83,3.85,ID,1657702044
Mount isa,-20.7333,139.5,60.57,27,0,11.5,AU,1657702044
Karpathos,35.507,27.2132,78.76,61,0,41.43,GR,1657701923
Bowen,-20.0167,148.2333,61.45,52,0,9.28,AU,1657702045
Rocha,-34.4833,-54.3333,36.97,84,6,5.84,UY,1657702045
Vestmannaeyjar,63.4427,-20.2734,49.19,76,0,13.8,IS,1657702045
Ayan,56.45,138.1667,60.73,95,100,3.42,RU,1657702045
Ixtlahuacan del rio,20.8667,-103.25,62.46,94,93,1.5,MX,1657702045
Warrington,53.3925,-2.5802,67.05,64,75,14.97,GB,1657702045
Nago,26.5881,127.9761,90.45,76,100,4.14,JP,1657702045
Santa rosalia,27.3167,-112.2833,84.69,53,67,2.33,MX,1657702045
Alofi,-19.0595,-169.9187,75.09,94,56,8.05,NU,1657702045
Sinnamary,5.3833,-52.95,76.33,90,80,5.91,GF,1657702045
Thompson,55.7435,-97.8558,51.96,82,20,2.3,CA,1657702046
